swmm_id,basin_index,source_row,downstream_target,current_fields_present,user_supplied_AC,user_supplied_invert,user_instruction
J_36,1,105,J_36|J_37,AA|S|V (AC missing),403.855,,
J_55,1,151,J_55|J_57,AA|S|V (AC missing),401.505,,
J_65_2,1,171,J_65_2|J_65_25,AA|S|V (AC missing),394.346,,
J_65_25,1,173,J_65_25|J_65_3,AA|S|V (AC missing),393.785,,
J_65_3,1,174,J_65_3|J_69,AA|S|V (AC missing),392.05,,
J_68,1,178,J_68|J_68_05,AA|S|V (AC missing),392.179,,
J_68_05,1,179,J_68_05|J_69,AA|S|V (AC missing),391.682,,
J_71_2,1,206,J_71_2|J_71_4,AA|S|V (AC missing),387.008,,
J_71_3,1,209,J_71_3|J_71_4,AA|S|V (AC missing),386.95,,
J_71_4,1,210,J_71_4|J_71_7,AA|S|V (AC missing),386.916,,WARNING: THIS JUNCTION WAS MISSING FROM YOUR AUDIT BUT IS ALSO MISSING IT'S AC VALUE. SEE USER_SUPPLIED_AC
J_101,2,332,J_101|J_101_1,AA|S|V (AC missing),391.167,,
J_101_1,2,335,J_101_1|J_107,AA|S|V (AC missing),390.05,,
J_102,2,339,J_102|J_102_1,AA|S|V (AC missing),388.836,,
J_102_1,2,341,J_102_1|J_102_3,AA|S|V (AC missing),388.747,,
J_102_2,2,344,J_102_2|J_102_3,AA|S|V (AC missing),388.7248904,,
J_102_3,2,345,J_102_3|J_102_4,AA|S|V (AC missing),388.724316,,
J_102_4,2,347,J_102_4|J_103_3,AA|S|V (AC missing),388.3708372,,
J_103,2,352,J_103|J_103_2,AA|S|V (AC missing),390.6435498,,
J_103_1,2,356,J_103_1|J_103_2,AA|S|V (AC missing),388.5278751,,
J_103_2,2,357,J_103_2|J_103_3,AA|S|V (AC missing),388.4688403,,
J_103_3,2,358,J_103_3|J_103_4,AA|S|V (AC missing),388.1202852,,
J_103_4,2,361,J_103_4|J_104,AA|S|V (AC missing),387.9344405,,
J_103_5,2,364,J_103_5|J_104,AA|S|V (AC missing),387.8910701,,
J_104,2,365,J_104|J_107,AA|S|V (AC missing),387.8112902,,
J_105,2,369,J_105|J_105_1,AA|S|V (AC missing),389.8392905,,
J_105_1,2,371,J_105_1|J_105_4,AA|S|V (AC missing),389.7688189,,
J_105_2,2,375,J_105_2|J_105_4,AA|S|V (AC missing),388.6113941,,
J_105_3,2,379,J_105_3|J_105_4,AA|S|V (AC missing),388.5887223,,
J_105_4,2,380,J_105_4|J_106,AA|S|V (AC missing),388.5777222,,
J_106,2,383,J_106|J_107,AA|S|V (AC missing),387.8635149,,
J_107,2,384,J_107|J_108_4,AA|S|V (AC missing),387.2048628,,
J_108,2,388,J_108|J_108_1,AA|S|V (AC missing),386.6791169,,
J_108_1,2,390,J_108_1|J_108_4,AA|S|V (AC missing),386.6667153,,
J_108_2,2,394,J_108_2|J_108_3,AA|S|V (AC missing),386.6685968,,
J_108_3,2,396,J_108_3|J_108_4,AA|S|V (AC missing),386.6577781,,
J_108_4,2,397,J_108_4|J_110,AA|S|V (AC missing),386.648701,,
J_109,2,401,J_109|J_109_1,AA|S|V (AC missing),387.534481,,
J_109_1,2,403,J_109_1|J_109_2,AA|S|V (AC missing),387.5007127,,
J_109_2,2,406,J_109_2|J_110,AA|S|V (AC missing),386.8528768,,
J_110,2,407,J_110|J_110_2,AA|S|V (AC missing),386.4861422,,
J_110_1,2,411,J_110_1|J_110_2,AA|S|V (AC missing),386.6071816,,
J_110_2,2,412,J_110_2|J_110_3,AA|S|V (AC missing),386.3937811,,
J_110_3,2,415,J_110_3|J_111,AA|S|V (AC missing),386.242132,,
J_113_2,2,428,J_113_2|J_115,AA|S|V (AC missing),388.6198822,,
J_114,2,432,J_114|J_115,AA|S|V (AC missing),388.8411782,,
J_114_1,2,435,J_114_1|J_114_2,AA|S|V (AC missing),388.8558119,,
J_114_2,2,437,J_114_2|J_115,AA|S|V (AC missing),388.8076723,,
J_116,2,441,J_116|J_117,AA|S|V (AC missing),387.1513288,,
J_134,2,484,J_134|O_134,AA|S|V (AC missing),382.8316003,,
J_84,2,258,J_84|J_84_1,AA|S|V (AC missing),401.5410334,,
J_84_1,2,260,J_84_1|J_85,AA|S|V (AC missing),401.4107015,,
J_89,2,275,J_89|J_95,AA|S|V (AC missing),395.1018857,,
J_91,2,285,J_91|J_92,AA|S|V (AC missing),396.9989417,,
J_95_1,2,301,J_95_1|J_95_15,AA|S|V (AC missing),388.4461105,,
J_96_1,2,314,J_96_1|J_97,AA|S|V (AC missing),383.8942858,,
J_97,2,316,J_97|J_97_1,AA|S|V (AC missing),383.8848267,,
J_97_1,2,319,J_97_1|J_98,AA|S|V (AC missing),383.7436646,,
J_99,2,326,J_99|J_100,AA|S|V (AC missing),383.9636331,,"WARNING: J_99 SHOULD BE UPSTREAM OF J_100, YOU SHOW IT BACKWARDS IN DOWNSTREAM TARGET COLUMN. "
J_136,5,500,J_136|J_136_6,AA|S|V (AC missing),388.7924045,,
J_136_1,5,503,J_136_1|J_136_2,AA|S|V (AC missing),388.8062155,,
J_136_2,5,505,J_136_2|J_136_3,AA|S|V (AC missing),388.7515878,,WARNING: THIS JUNCTION WAS MISSING FROM YOUR AUDIT BUT IS ALSO MISSING IT'S AC VALUE. SEE USER_SUPPLIED_AC
J_136_3,5,507,J_136_3|J_136_4,AA|S|V (AC missing),388.7402901,,WARNING: THIS JUNCTION WAS MISSING FROM YOUR AUDIT BUT IS ALSO MISSING IT'S AC VALUE. SEE USER_SUPPLIED_AC
J_136_4,5,509,J_136_4|J_136_5,AA|S|V (AC missing),388.7125375,,
J_136_5,5,511,J_136_5|J_136_6,AA|S|V (AC missing),388.6993084,,
J_136_6,5,512,J_136_6|J_136_7,AA|S|V (AC missing),388.3618483,,
J_136_7,5,515,J_136_7|J_136_9,AA|S|V (AC missing),387.7296975,,WARNING: THIS JUNCTION WAS MISSING FROM YOUR AUDIT BUT IS ALSO MISSING IT'S AC VALUE. SEE USER_SUPPLIED_AC
J_136_8,5,519,J_136_8|J_136_9,AA|S|V (AC missing),387.5984764,,WARNING: THIS JUNCTION WAS MISSING FROM YOUR AUDIT BUT IS ALSO MISSING IT'S AC VALUE. SEE USER_SUPPLIED_AC
J_136_9,5,520,J_136_9|J_137_2,AA|S|V (AC missing),387.5512424,,
J_137,5,524,J_137|J_137_1,AA|S|V (AC missing),387.5871667,,
J_137_1,5,526,J_137_1|J_137_2,AA|S|V (AC missing),387.1259922,,
J_137_2,5,527,J_137_2|J_138,AA|S|V (AC missing),387.1081922,,WARNING: THIS JUNCTION WAS MISSING FROM YOUR AUDIT BUT IS ALSO MISSING IT'S AC VALUE. SEE USER_SUPPLIED_AC
